episode,reward,loss,frequency,sigma
1,0.34863361716270447,-783.8189086914062,0.0,28.601285892422116
2,1.4429781436920166,-818.028076171875,0.775,40.77997320818121
3,-0.2962350845336914,-824.788330078125,0.0,40.10034293571661
4,0.9659438133239746,-783.9935302734375,0.0,35.014767919677
5,-0.9083757400512695,-789.1944580078125,0.0,32.47616351077516
6,0.522150993347168,-758.1438598632812,0.0,29.709244377642904
7,-0.5167330503463745,-791.32666015625,0.0,36.994356623456845
8,0.49025842547416687,-743.5311279296875,0.0,27.241034628223325
9,-0.8193640112876892,-734.6895141601562,0.775,28.006858240134164
10,0.9149997234344482,-771.8350219726562,0.775,32.577881572451574
11,-0.7199181318283081,-767.2313842773438,0.0,38.10447410589164
12,0.17445236444473267,-766.506103515625,0.0,36.70858887427936
13,0.4730556309223175,-734.39892578125,0.0,35.682044512241276
14,1.9890856742858887,-736.060302734375,0.0,38.98985676264157
15,0.7842408418655396,-735.0138549804688,0.0,33.24331246207311
16,-0.7931063175201416,-738.0989990234375,0.0,34.04048671731516
17,1.5323833227157593,-752.9766845703125,0.775,31.192604835387414
18,-0.12873803079128265,-786.2736206054688,0.0,30.231221613866044
19,-0.30686286091804504,-746.6570434570312,0.0,30.63848722480138
20,1.1145232915878296,-742.1273193359375,0.775,31.5668722692794
21,1.0850634574890137,-685.9797973632812,0.0,34.139994657271416
22,-1.0500775575637817,-790.1481323242188,0.0,30.82169221564057
23,-0.1464652419090271,-694.9744262695312,0.0,33.05139567865077
24,-0.19301937520503998,-739.2227172851562,0.8,35.21775658730355
25,1.0639477968215942,-723.66259765625,0.8,28.34935181150408
26,-0.4976845681667328,-720.9217529296875,0.0,38.977525060706995
27,0.24558423459529877,-706.4909057617188,0.0,38.07751558886375
28,-0.27070027589797974,-731.56689453125,0.0,42.15897320856017
29,-1.188332200050354,-755.8433837890625,0.0,36.779485832080816
30,-0.3457653224468231,-738.4656982421875,0.775,26.83636774228188
31,-1.0766891241073608,-719.5833740234375,0.0,29.69719337763786
32,0.07535171508789062,-713.0283813476562,0.0,35.49226493927859
33,-0.1493259221315384,-702.5993041992188,0.0,24.457968626928313
34,1.0827444791793823,-685.1002197265625,0.0,39.2485650371245
35,0.950509250164032,-706.09521484375,0.0,35.11100653256338
36,-0.3900473713874817,-697.1543579101562,0.0,33.208317818963955
37,0.21549704670906067,-700.946533203125,0.0,29.60154980291012
38,-0.5390089154243469,-693.5698852539062,0.0,27.770841092637966
39,-0.6413498520851135,-721.7763061523438,0.0,25.981659752019674
40,1.628753423690796,-725.3587036132812,0.8,28.76307576914041
41,0.6020435094833374,-680.484375,0.0,33.13517281490381
42,-0.2464580535888672,-704.3023681640625,0.0,29.652749260266198
43,0.060190349817276,-696.962158203125,0.0,27.990815474732962
44,-0.19968873262405396,-703.8054809570312,0.0,31.62848706204177
45,-0.22109559178352356,-699.7263793945312,0.8,39.549476796739874
46,-0.572468638420105,-700.2053833007812,0.0,40.39641725042157
47,0.7722543478012085,-667.3309936523438,0.775,35.9659997498598
48,-0.30860981345176697,-666.35205078125,0.0,43.551352699838525
49,0.4893239140510559,-668.9982299804688,0.775,44.55034402838197
50,-0.6255761384963989,-659.6640014648438,0.0,30.611313409713485
51,0.299626886844635,-611.5946044921875,0.775,36.47832872157627
52,-0.408214807510376,-678.4702758789062,0.0,28.042268415546534
53,-0.25727859139442444,-668.9465942382812,0.0,34.14321615712547
54,1.5347480773925781,-653.926513671875,0.0,24.66318951014856
55,-1.7428277730941772,-669.486083984375,0.0,45.18186858174848
56,-1.0066006183624268,-662.8494873046875,0.0,29.516269669508258
57,-0.261269211769104,-665.1543579101562,0.8,31.809998262933533
58,0.15759289264678955,-643.4071044921875,0.0,32.31526282676685
59,0.3828340470790863,-658.935546875,0.0,26.796245606356827
60,-0.6921064257621765,-658.44384765625,0.0,35.785944945894094
61,1.530121088027954,-623.8731689453125,0.775,32.1010303391702
62,-0.02687704563140869,-642.1302490234375,0.0,35.37296511473617
63,-0.2284626066684723,-616.9779663085938,0.0,34.838719425787815
64,-0.15689480304718018,-620.29150390625,0.0,38.4076491889687
65,-0.5590509176254272,-619.699462890625,0.775,35.9222057210221
66,1.4056965112686157,-615.73193359375,0.0,31.765002715840538
67,2.2410407066345215,-576.5482788085938,0.0,33.171618099283236
68,0.49323511123657227,-613.6392211914062,0.775,37.2234369431744
69,-0.1429840326309204,-603.6113891601562,0.0,29.527838152775026
70,0.3909739553928375,-608.3923950195312,0.0,43.02137536949221
71,-0.06507644057273865,-628.1676635742188,0.0,29.05354930027157
72,1.1333087682724,-622.3524780273438,0.775,40.01578315774838
73,-0.4142858386039734,-624.092041015625,0.0,36.016898010282084
74,0.2942627966403961,-597.664794921875,0.0,36.23617552090807
75,-0.5028802156448364,-603.7665405273438,0.775,36.17058803460589
76,-0.4623393416404724,-578.2091674804688,0.775,32.320797016983455
77,-1.1354057788848877,-583.1489868164062,0.0,42.01424892071592
78,-0.25443345308303833,-628.7809448242188,0.0,24.018294201302428
79,0.4582136273384094,-580.2481079101562,0.775,32.416856420188644
80,1.4004935026168823,-574.9590454101562,0.0,40.82511517973463
81,-0.10959523916244507,-582.0773315429688,0.0,36.83359818811027
82,1.5393753051757812,-564.163330078125,0.8,39.02850009746306
83,0.920811116695404,-574.5380859375,0.0,22.05974832948523
84,-1.0064667463302612,-580.3759155273438,0.775,46.63107246717604
85,1.9590070247650146,-556.363525390625,0.0,31.171285678487692
86,-1.3244394063949585,-591.59716796875,0.0,41.133696649730275
87,-0.15747249126434326,-520.243896484375,0.0,47.341917808188875
88,1.2652069330215454,-518.876953125,0.775,50.51227409648768
89,0.11856451630592346,-589.2662963867188,0.8,32.25865229191237
90,-0.0705382227897644,-563.9611206054688,0.0,36.74029949394556
91,-0.20146723091602325,-532.3324584960938,0.0,32.219839862124424
92,-0.0251426100730896,-579.2355346679688,0.0,29.6334206919386
93,-0.7600833177566528,-542.538818359375,0.0,30.068159557839994
94,-0.8049324154853821,-562.2478637695312,0.775,30.89024288063122
95,1.1177661418914795,-525.3890991210938,0.0,32.19663752066885
96,-1.4755830764770508,-570.7337646484375,0.0,34.86154975436164
97,0.9491121768951416,-518.4381103515625,0.775,32.16363667431667
98,0.7991966009140015,-505.0419006347656,0.0,33.098589525441746
99,-0.9574567079544067,-506.420166015625,0.0,28.9515186755678
100,0.4363185167312622,-510.273193359375,0.0,30.661277590992125
101,-0.26458001136779785,-500.2759704589844,0.0,34.773848575735535
102,0.14212387800216675,-488.0927734375,0.775,38.25987032813641
103,-1.599379539489746,-556.7487182617188,0.8,26.27825857467928
104,0.692879855632782,-512.4243774414062,0.0,28.926284937437313
105,-1.0972310304641724,-507.68927001953125,0.0,27.5866125394826
106,0.31759798526763916,-512.3884887695312,0.8,39.55821405348428
107,-0.37230241298675537,-517.4425659179688,0.0,27.69256658553666
108,1.0212931632995605,-476.3877258300781,0.0,33.33394287465223
109,0.8307344913482666,-498.4364318847656,0.0,32.63516839297502
110,-0.69367516040802,-502.26141357421875,0.0,42.88065582680271
111,0.9986767768859863,-465.97821044921875,0.0,29.720112232604464
112,1.8530142307281494,-474.17535400390625,0.0,28.935210647668658
113,-0.29897579550743103,-521.9075317382812,0.0,41.06416877644131
114,0.3527108430862427,-486.64947509765625,0.0,29.42751619073285
115,0.38672927021980286,-501.9809265136719,0.0,27.020427005850568
116,0.6251500844955444,-466.3380432128906,0.0,34.77051063966057
117,0.3120507299900055,-461.00970458984375,0.0,30.07015857771399
118,-1.9189529418945312,-479.8662109375,0.775,34.798413164291354
119,1.4610776901245117,-438.89300537109375,0.0,30.993758683367165
120,0.1363881230354309,-462.1445617675781,0.8,37.00662572125802
121,0.614135205745697,-451.118896484375,0.775,57.664752590060864
122,-0.3297143578529358,-454.2114562988281,0.775,38.64442100377691
123,-0.7878756523132324,-479.3634033203125,0.775,43.19000327761595
124,1.391781210899353,-437.0556945800781,0.775,35.18916330903992
125,0.41344863176345825,-462.0344543457031,0.8,25.35014085836218
126,0.03433459997177124,-483.83544921875,0.0,33.82898003674703
127,3.135378837585449,-432.9949645996094,0.775,37.58549322049907
128,0.4216327667236328,-424.2196960449219,0.775,39.315512398776946
129,3.0351269245147705,-414.1484375,0.0,34.50863335020574
130,0.5574290752410889,-440.3029479980469,0.0,30.82266781343809
131,-1.291607141494751,-466.7420654296875,0.775,32.30381031038579
132,-0.395842045545578,-472.987548828125,0.0,32.64342275963036
133,1.1362709999084473,-440.8861999511719,0.775,32.25906563994779
134,-0.44415420293807983,-455.6492004394531,0.0,33.18034037724066
135,0.9159178733825684,-420.7816162109375,0.0,37.03554682574991
136,1.539862036705017,-409.8865661621094,0.775,39.2468645535781
137,0.16116061806678772,-452.2210693359375,0.0,33.33899522813273
138,0.4300742745399475,-410.279052734375,0.775,42.867777709682024
139,0.6666102409362793,-413.8684387207031,0.775,47.9737220165269
140,0.9974627494812012,-403.36236572265625,0.0,35.388257488011874
141,0.9091153144836426,-416.159423828125,0.0,30.323625314259008
142,-0.6493697762489319,-392.460693359375,0.775,36.593318323787955
143,0.8589515686035156,-409.27459716796875,0.0,32.22896022869464
144,0.11230184137821198,-410.0982360839844,0.0,36.52782839667736
145,-2.0971732139587402,-411.0769958496094,0.0,28.01354870535916
146,0.662216305732727,-427.2296447753906,0.0,30.311654458057273
147,0.19202256202697754,-401.4556884765625,0.775,55.986307528600676
148,1.3331282138824463,-408.62652587890625,0.0,37.505347794777975
149,-0.0023039281368255615,-417.07183837890625,0.0,32.17226402718413
150,0.844600260257721,-386.32818603515625,0.775,42.32885972385601
151,1.2852580547332764,-384.7297058105469,0.775,39.308835379554196
152,0.1731688678264618,-375.4604797363281,0.0,35.15886198622526
153,-0.018033146858215332,-341.9085998535156,0.775,39.978838316357376
154,1.281077265739441,-364.8427429199219,0.0,39.47227830304905
155,0.17597150802612305,-390.12579345703125,0.0,34.03913366067755
156,0.43229421973228455,-380.47698974609375,0.0,28.67103553466568
157,0.09643284976482391,-364.7208251953125,0.0,35.88766047994895
158,0.5323079824447632,-333.9841003417969,0.0,39.63077769309889
159,1.2732679843902588,-370.0369873046875,0.0,38.88269405443371
160,0.2835463583469391,-375.19970703125,0.0,37.246798666415664
161,0.33582431077957153,-377.4320983886719,0.0,35.7242759940978
162,-0.16789081692695618,-343.6677551269531,0.0,32.29754211926296
163,0.24190998077392578,-386.99273681640625,0.775,23.833265763489152
164,1.0539969205856323,-338.9034729003906,0.0,35.13250465890645
165,1.0678380727767944,-358.5245361328125,0.0,34.18025123259835
166,0.18894165754318237,-332.5211181640625,0.0,39.94746714908027
167,-0.731376051902771,-349.9336242675781,0.0,37.12632147163496
168,0.6437222957611084,-327.1542663574219,0.0,33.82588698320792
169,0.7828273177146912,-338.10870361328125,0.775,47.922584613302945
170,0.33963948488235474,-343.2559814453125,0.0,34.21034965539984
171,0.043626606464385986,-313.9400634765625,0.8,32.62980114625764
172,-0.2639256715774536,-301.3426208496094,0.775,47.59837315257324
173,-1.009928584098816,-337.4283447265625,0.775,33.72642621998449
174,1.2388948202133179,-307.569580078125,0.775,33.44135323606804
175,0.6040213704109192,-303.04296875,0.0,44.41048358949607
176,-1.0162466764450073,-335.50457763671875,0.775,37.61541614362282
177,-0.8613938093185425,-306.2738037109375,0.775,40.10388438318694
178,-0.15308532118797302,-317.4734191894531,0.0,33.95896834766927
179,0.5074095129966736,-307.543212890625,0.0,35.91205200259557
180,0.9442034959793091,-276.62188720703125,0.0,36.48747163589797
181,0.3109445869922638,-313.1112365722656,0.0,31.963385582184312
182,1.305050253868103,-274.4864501953125,0.0,32.09356669035753
183,1.795078992843628,-268.9055480957031,0.775,36.54815658389084
184,0.8773788213729858,-283.0882263183594,0.0,46.41453635496805
185,-0.566085159778595,-286.71441650390625,0.8,26.035961471225733
186,2.5976643562316895,-282.1063232421875,0.0,32.560445538976026
187,0.08750200271606445,-306.72589111328125,0.0,30.71556146549658
188,4.109424114227295,-266.7710266113281,0.0,35.37543717406595
189,0.7000901699066162,-285.024658203125,0.775,38.35894587280301
190,0.23039263486862183,-299.62237548828125,0.0,39.62847306278064
191,1.6643270254135132,-285.2833557128906,0.0,29.588944769397724
192,1.6230508089065552,-275.5823974609375,0.775,48.17298958792097
193,2.103003978729248,-241.60520935058594,0.0,30.917472839180324
194,-0.17357869446277618,-282.7326965332031,0.0,24.08416385577081
195,0.13014817237854004,-274.5046691894531,0.0,33.2845898669461
196,3.928779125213623,-239.523681640625,0.8,33.41850656290189
197,1.6828081607818604,-229.19398498535156,0.775,46.005878700344695
198,-0.35693666338920593,-269.5966796875,0.0,32.50052076915379
199,3.788951873779297,-248.63067626953125,0.775,46.3120513839311
200,1.3179373741149902,-232.62001037597656,0.0,31.8283340455053
201,2.138719081878662,-248.96060180664062,0.775,36.00811807711647
202,1.3625593185424805,-217.8152618408203,0.0,39.06669637896123
203,1.4326965808868408,-230.09335327148438,0.0,28.85845340694098
204,0.4555668830871582,-246.9672393798828,0.0,30.43965928865024
205,-0.29701095819473267,-226.311767578125,0.0,34.4808887498941
206,0.9521186351776123,-222.70643615722656,0.775,54.60231140191815
207,1.9227404594421387,-256.06146240234375,0.0,41.792239140897685
208,-0.08179539442062378,-205.6557159423828,0.0,43.308600899078314
209,0.7062287926673889,-208.80020141601562,0.8,35.99418362308941
210,-0.08216728270053864,-242.11441040039062,0.0,37.61120682783367
211,1.5772007703781128,-219.5720672607422,0.0,26.82507076240576
212,1.128941297531128,-198.13037109375,0.0,38.72806189517437
213,0.02489525079727173,-186.4972381591797,0.775,36.787882309936585
214,1.7733266353607178,-179.7635498046875,0.0,29.738012363327044
215,1.5040192604064941,-204.23158264160156,0.775,29.657832086105728
216,2.255767345428467,-173.6492462158203,0.8,30.805228560276017
217,2.577087640762329,-182.82138061523438,0.775,34.88292145947916
218,0.38507604598999023,-174.39669799804688,0.775,37.86305964343018
219,-0.2742103934288025,-186.8428192138672,0.0,38.099985643711086
220,0.5653234720230103,-200.61883544921875,0.0,40.09353205930242
221,0.723798394203186,-169.96945190429688,0.0,32.29685810908389
222,0.30010998249053955,-205.2952117919922,0.0,29.895406485806603
