episode,reward,loss,frequency,sigma
1,3.1649179458618164,252.07838439941406,0.675,94.44600317408386
2,8.22215461730957,227.78053283691406,0.7,74.85247171256754
3,8.192934036254883,241.79547119140625,0.675,73.5181674738337
4,6.387428283691406,234.82017517089844,0.7,51.10993718330381
5,6.707016944885254,214.10617065429688,0.7,59.04765417824824
6,12.014215469360352,224.49423217773438,0.7,73.21919560967255
7,4.659579277038574,223.19873046875,0.7,25.455289384137696
8,4.483938217163086,226.5518035888672,0.675,52.125351554866604
9,3.419773578643799,224.63589477539062,0.675,80.8142728676461
10,4.10163688659668,222.18777465820312,0.7,67.97001230568621
11,2.8060531616210938,219.38571166992188,0.675,66.37462565617327
12,7.187699317932129,202.7593994140625,0.675,62.79978135703512
13,6.297104835510254,206.47177124023438,0.675,79.44386561643908
14,6.282146453857422,207.43385314941406,0.7,46.05950580630792
15,4.363215923309326,201.39073181152344,0.675,74.74833666266274
16,5.786815643310547,192.30450439453125,0.675,58.26665083168372
17,10.010892868041992,193.7412109375,0.7,58.00139108291375
18,3.6754379272460938,203.6702880859375,0.675,59.35382943907429
19,5.258542537689209,193.51510620117188,0.675,65.27373489475553
20,3.710831642150879,181.56288146972656,0.675,57.24593820657696
21,4.233766555786133,196.84469604492188,0.675,74.12157263950735
22,3.8943889141082764,178.96299743652344,0.675,54.651613207750984
23,6.3008222579956055,176.6296844482422,0.7,72.74765962403976
24,3.661372423171997,185.45159912109375,0.675,55.60696693961024
25,1.635183572769165,166.52183532714844,0.675,84.02583286415073
26,2.9860472679138184,182.32041931152344,0.675,64.04738282868473
27,7.345555305480957,178.55740356445312,0.675,83.72337269100856
28,5.878632545471191,166.35679626464844,0.675,64.23138567254603
29,3.358666181564331,169.2261199951172,0.675,68.52195091834538
30,5.177947521209717,169.74925231933594,0.675,44.09442313530757
31,5.270893096923828,165.44142150878906,0.675,56.907793026115755
32,5.148241996765137,169.20285034179688,0.675,100.09753843163395
33,12.081193923950195,157.72593688964844,0.7,67.36832187435292
34,5.8956804275512695,147.80462646484375,0.675,67.95225092180466
35,4.4840087890625,161.83956909179688,0.675,58.78491474888611
36,3.082885265350342,155.91880798339844,0.675,50.49543246806193
37,3.979548215866089,152.79209899902344,0.675,55.85939616797479
38,4.849007606506348,150.43283081054688,0.675,55.841285882953585
39,8.905473709106445,130.51988220214844,0.7,84.85612218460321
40,6.348584175109863,138.7418212890625,0.675,40.681070074648986
41,2.89461088180542,127.76038360595703,0.675,24.979585757565008
42,4.745750427246094,137.90570068359375,0.7,44.96835253444873
43,3.188544273376465,141.53456115722656,0.675,69.98450478740955
44,4.740261077880859,128.978271484375,0.675,67.78551045373655
45,3.9345226287841797,147.2374267578125,0.7,42.29352214000717
46,6.927040100097656,120.9284439086914,0.675,70.36571895249506
47,4.437135696411133,131.84292602539062,0.675,54.28333595541648
48,2.8674116134643555,124.01985168457031,0.725,32.09642028193073
49,4.40885591506958,117.01493835449219,0.675,68.57989878707168
50,6.056168556213379,113.86681365966797,0.675,51.53851687307324
51,7.741888999938965,107.06324768066406,0.675,75.70703680291676
52,-1.6803585290908813,109.2502212524414,0.675,87.75905853549513
53,3.0849416255950928,117.82835388183594,0.675,51.28342235248116
54,4.600216865539551,104.73603057861328,0.675,36.29227185234085
